Compound,ConvertedDate,Negative,Neutral,Positive,RawDate,Text,TimeDiff,Tweets Ago,User
-0.5267,2018-10-03 21:26:13+00:00,0.206,0.794,0.0,Wed Oct 03 21:26:13 +0000 2018,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…",0,25,@BBC
0.0,2018-10-03 21:26:13+00:00,0.0,1.0,0.0,Wed Oct 03 21:26:13 +0000 2018,@carolecadwalla @BBCPanorama @BBC That’s why people are choosing #BBCswitchoff,0,26,@BBC
0.0772,2018-10-03 21:26:08+00:00,0.0,0.936,0.064,Wed Oct 03 21:26:08 +0000 2018,RT @carolecadwalla: Number of @bbc reports on Kremlin's attempts to influence @arron_banks &amp; @nigel_farage's LeaveEU campaign? 0. If any pa…,0,27,@BBC
-0.5267,2018-10-03 21:26:04+00:00,0.206,0.794,0.0,Wed Oct 03 21:26:04 +0000 2018,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…",0,28,@BBC
0.0772,2018-10-03 21:25:59+00:00,0.0,0.936,0.064,Wed Oct 03 21:25:59 +0000 2018,RT @carolecadwalla: Number of @bbc reports on Kremlin's attempts to influence @arron_banks &amp; @nigel_farage's LeaveEU campaign? 0. If any pa…,0,29,@BBC
0.6697,2018-10-03 21:25:56+00:00,0.0,0.781,0.219,Wed Oct 03 21:25:56 +0000 2018,@bbc totally love #motherland.watching series 1 for the 3rd time.does this mean a new series is on the way?🤞,0,30,@BBC
-0.5267,2018-10-03 21:25:53+00:00,0.206,0.794,0.0,Wed Oct 03 21:25:53 +0000 2018,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…",0,31,@BBC
-0.0258,2018-10-03 21:25:53+00:00,0.211,0.655,0.135,Wed Oct 03 21:25:53 +0000 2018,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…,0,32,@BBC
0.4497,2018-10-03 21:25:46+00:00,0.0,0.882,0.118,Wed Oct 03 21:25:46 +0000 2018,RT @IslaArundel: @carolecadwalla @BBC Is it not time to swallow the unpalatable but unavoidable truth that the BBC has been complicit in th…,0,33,@BBC
-0.0807,2018-10-03 21:25:46+00:00,0.165,0.724,0.112,Wed Oct 03 21:25:46 +0000 2018,RT @tw33ls: @JaneSowler @carolecadwalla @BBC Stopped watching #BBCQT over 2 years ago. I’m so much calmer now! Stopped paying the licence f…,0,34,@BBC
-0.528,2018-10-03 21:25:44+00:00,0.146,0.854,0.0,Wed Oct 03 21:25:44 +0000 2018,"RT @mdf200: Why is @BBCBreaking or @BBCNews not shouting about this?!?!?
Seriously! May dancing on stage, sure.... front page news!

Planes…",0,35,@BBC
-0.0258,2018-10-03 21:25:41+00:00,0.211,0.655,0.135,Wed Oct 03 21:25:41 +0000 2018,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…,0,36,@BBC
0.2249,2018-10-03 21:25:41+00:00,0.09,0.786,0.124,Wed Oct 03 21:25:41 +0000 2018,When will the @BBC realise that Matt Edmondson is just NOT funny. The fact that he only got a cheer from one person… https://t.co/UH2BRCYZra,0,37,@BBC
-0.2263,2018-10-03 21:25:40+00:00,0.147,0.853,0.0,Wed Oct 03 21:25:40 +0000 2018,RT @JaneSowler: @carolecadwalla @BBC I've stopped watching. How many others have too?,0,38,@BBC
0.0772,2018-10-03 21:25:40+00:00,0.0,0.936,0.064,Wed Oct 03 21:25:40 +0000 2018,RT @carolecadwalla: Number of @bbc reports on Kremlin's attempts to influence @arron_banks &amp; @nigel_farage's LeaveEU campaign? 0. If any pa…,0,39,@BBC
-0.5267,2018-10-03 21:25:38+00:00,0.206,0.794,0.0,Wed Oct 03 21:25:38 +0000 2018,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…",0,40,@BBC
-0.296,2018-10-03 21:25:37+00:00,0.099,0.901,0.0,Wed Oct 03 21:25:37 +0000 2018,RT @AtentDead: @IslaArundel @carolecadwalla @BBC 23rd June 2016.... or rather a few weeks after when I suspect they were 'got at'. You're a…,0,41,@BBC
-0.5267,2018-10-03 21:25:36+00:00,0.206,0.794,0.0,Wed Oct 03 21:25:36 +0000 2018,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…",0,42,@BBC
0.0,2018-10-03 21:25:34+00:00,0.0,1.0,0.0,Wed Oct 03 21:25:34 +0000 2018,"@carolecadwalla @BBC @Arron_banks @Nigel_Farage @peterjukes @sundaytimes @IsabelOakeshott In 30 or 40 years time, t… https://t.co/FtTcgou8Qx",0,43,@BBC
0.0772,2018-10-03 21:25:31+00:00,0.0,0.936,0.064,Wed Oct 03 21:25:31 +0000 2018,RT @carolecadwalla: Number of @bbc reports on Kremlin's attempts to influence @arron_banks &amp; @nigel_farage's LeaveEU campaign? 0. If any pa…,0,44,@BBC
-0.6808,2018-10-03 21:25:31+00:00,0.272,0.728,0.0,Wed Oct 03 21:25:31 +0000 2018,RT @AmrineDouglas: @carolecadwalla @BBC #BBCswitchoff   Investigate the fraud behind Brexit - how strange that even the Canadian government…,0,45,@BBC
-0.7345,2018-10-03 21:25:30+00:00,0.323,0.677,0.0,Wed Oct 03 21:25:30 +0000 2018,"RT @CarolHakios: @KareemN96 Despicable cowards, using internationally banned, lethal weapons on children! #ICC4Israel 

#SanctionsNow

@Joh…",0,46,@BBC
-0.0258,2018-10-03 21:25:29+00:00,0.211,0.655,0.135,Wed Oct 03 21:25:29 +0000 2018,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…,0,47,@BBC
-0.128,2018-10-03 21:25:27+00:00,0.116,0.788,0.095,Wed Oct 03 21:25:27 +0000 2018,RT @IslaArundel: @AtentDead @carolecadwalla @BBC I'm still struggling to figure out how and when this big benign institution I grew up trus…,0,48,@BBC
-0.0258,2018-10-03 21:25:25+00:00,0.211,0.655,0.135,Wed Oct 03 21:25:25 +0000 2018,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…,0,49,@BBC
-0.0258,2018-10-03 21:25:24+00:00,0.211,0.655,0.135,Wed Oct 03 21:25:24 +0000 2018,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…,0,50,@BBC
-0.0258,2018-10-03 21:25:23+00:00,0.211,0.655,0.135,Wed Oct 03 21:25:23 +0000 2018,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…,0,51,@BBC
-0.128,2018-10-03 21:25:18+00:00,0.176,0.711,0.113,Wed Oct 03 21:25:18 +0000 2018,RT @AtentDead: @IslaArundel @carolecadwalla @BBC Yes it is. And this is why I resigned my licence. I refuse to fund 'state' broadcasting.,0,52,@BBC
-0.6808,2018-10-03 21:25:15+00:00,0.286,0.714,0.0,Wed Oct 03 21:25:15 +0000 2018,@carolecadwalla @BBC #BBCswitchoff   Investigate the fraud behind Brexit - how strange that even the Canadian gover… https://t.co/FbQ35rfMMV,0,53,@BBC
0.0,2018-10-03 21:25:14+00:00,0.0,1.0,0.0,Wed Oct 03 21:25:14 +0000 2018,RT @BodyTherapyUK: On @BBC #trustmeimadoctor they’ve shown that #massage increases your white blood cell count by almost 70% - opens up the…,0,54,@BBC
0.4497,2018-10-03 21:25:14+00:00,0.0,0.882,0.118,Wed Oct 03 21:25:14 +0000 2018,RT @IslaArundel: @carolecadwalla @BBC Is it not time to swallow the unpalatable but unavoidable truth that the BBC has been complicit in th…,0,55,@BBC
-0.0258,2018-10-03 21:25:14+00:00,0.211,0.655,0.135,Wed Oct 03 21:25:14 +0000 2018,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…,0,56,@BBC
0.0,2018-10-03 21:25:06+00:00,0.0,1.0,0.0,Wed Oct 03 21:25:06 +0000 2018,@carolecadwalla @BBCPanorama @BBC They did the same when the government were forcing through their NHS legislation.… https://t.co/qshk7skdZR,0,57,@BBC
-0.2263,2018-10-03 21:25:05+00:00,0.137,0.863,0.0,Wed Oct 03 21:25:05 +0000 2018,RT @mauricesmithtvi: @carolecadwalla @BBC Just reminded me why I stopped watching this programme @bbcquestiontime,0,58,@BBC
-0.5267,2018-10-03 21:25:01+00:00,0.206,0.794,0.0,Wed Oct 03 21:25:01 +0000 2018,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…",0,59,@BBC
-0.5267,2018-10-03 21:25:01+00:00,0.206,0.794,0.0,Wed Oct 03 21:25:01 +0000 2018,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…",0,60,@BBC
0.3612,2018-10-03 21:24:59+00:00,0.0,0.894,0.106,Wed Oct 03 21:24:59 +0000 2018,RT @Forelock_LoadEQ: @TapnerEventing @BBC We offered a refill service in store this year for fly sprays for that reason. I am keen to follo…,0,61,@BBC
-0.0258,2018-10-03 21:24:59+00:00,0.211,0.655,0.135,Wed Oct 03 21:24:59 +0000 2018,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…,0,62,@BBC
0.0772,2018-10-03 21:24:58+00:00,0.0,0.936,0.064,Wed Oct 03 21:24:58 +0000 2018,RT @carolecadwalla: Number of @bbc reports on Kremlin's attempts to influence @arron_banks &amp; @nigel_farage's LeaveEU campaign? 0. If any pa…,0,63,@BBC
0.0772,2018-10-03 21:24:58+00:00,0.0,0.936,0.064,Wed Oct 03 21:24:58 +0000 2018,RT @carolecadwalla: Number of @bbc reports on Kremlin's attempts to influence @arron_banks &amp; @nigel_farage's LeaveEU campaign? 0. If any pa…,0,64,@BBC
-0.5267,2018-10-03 21:24:56+00:00,0.206,0.794,0.0,Wed Oct 03 21:24:56 +0000 2018,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…",0,65,@BBC
-0.0258,2018-10-03 21:24:56+00:00,0.211,0.655,0.135,Wed Oct 03 21:24:56 +0000 2018,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…,0,66,@BBC
-0.0258,2018-10-03 21:24:55+00:00,0.211,0.655,0.135,Wed Oct 03 21:24:55 +0000 2018,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…,0,67,@BBC
-0.0258,2018-10-03 21:24:54+00:00,0.211,0.655,0.135,Wed Oct 03 21:24:54 +0000 2018,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…,0,68,@BBC
-0.0258,2018-10-03 21:24:51+00:00,0.211,0.655,0.135,Wed Oct 03 21:24:51 +0000 2018,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…,0,69,@BBC
-0.5267,2018-10-03 21:24:41+00:00,0.206,0.794,0.0,Wed Oct 03 21:24:41 +0000 2018,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…",0,70,@BBC
